Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2/27/15,130.05,130.57,128.24,128.46,61724911,0,1,130.05,130.57,128.24,128.46,61724911
2/26/15,128.785,130.87,126.61,130.415,91171830,0,1,128.785,130.87,126.61,130.415,91171830
2/25/15,131.56,131.6,128.15,128.79,74555120,0,1,131.56,131.6,128.15,128.79,74555120
2/24/15,132.94,133.6,131.17,132.17,69109410,0,1,132.94,133.6,131.17,132.17,69109410
2/23/15,130,133,129.66,133,70461036,0,1,130,133,129.66,133,70461036
2/20/15,128.65,129.5,128.05,129.495,48539041,0,1,128.65,129.5,128.05,129.495,48539041
2/19/15,128.45,129.03,128.33,128.45,37259620,0,1,128.45,129.03,128.33,128.45,37259620
2/18/15,127.63,128.78,127.45,128.715,44203759,0,1,127.63,128.78,127.45,128.715,44203759
2/17/15,127.47,128.88,126.92,127.83,62983309,0,1,127.47,128.88,126.92,127.83,62983309
2/13/15,127.27,127.28,125.65,127.08,53743292,0,1,127.27,127.28,125.65,127.08,53743292
2/12/15,125.98,127.48,125.57,126.46,73460039,0,1,125.98,127.48,125.57,126.46,73460039
2/11/15,122.82,124.92,122.5,124.88,72874723,0,1,122.82,124.92,122.5,124.88,72874723
2/10/15,120.26,122.15,120.16,122.02,61714967,0,1,120.26,122.15,120.16,122.02,61714967
2/9/15,118.52,119.84,118.43,119.72,37832052,0,1,118.52,119.84,118.43,119.72,37832052
2/6/15,120.02,120.25,118.45,118.93,43633660,0,1,120.02,120.25,118.45,118.93,43633660
2/5/15,120.02,120.23,119.25,119.94,42197110,0,1,120.02,120.23,119.25,119.94,42197110
2/4/15,118.5,120.51,118.309,119.56,69975180,0,1,118.5,120.51,118.309,119.56,69975180
2/3/15,118.27,119.09,117.61,118.65,51683284,0,1,118.27,119.09,117.61,118.65,51683284
2/2/15,118.03,119.17,116.08,118.63,62347947,0,1,118.03,119.17,116.08,118.63,62347947
1/30/15,118.28,120,116.85,117.16,83532038,0,1,118.28,120,116.85,117.16,83532038
1/29/15,116.36,119.19,115.56,118.9,83985866,0,1,116.36,119.19,115.56,118.9,83985866
1/28/15,117.56,118.12,115.31,115.31,146420662,0,1,117.56,118.12,115.31,115.31,146420662
1/26/15,113.74,114.3626,112.8,113.1,55457420,0,1,113.74,114.3626,112.8,113.1,55457420
1/23/15,112.3,113.75,111.53,112.98,46420020,0,1,112.3,113.75,111.53,112.98,46420020
1/22/15,110.26,112.47,109.72,112.4,53717440,0,1,110.26,112.47,109.72,112.4,53717440
1/21/15,108.87,111.06,108.27,109.55,48302775,0,1,108.87,111.06,108.27,109.55,48302775
1/20/15,107.98,108.9667,106.5,108.72,49156058,0,1,107.98,108.9667,106.5,108.72,49156058
1/15/15,109.96,110.06,106.66,106.82,59735341,0,1,109.96,110.06,106.66,106.82,59735341
1/14/15,109,110.49,108.5,109.8,48486405,0,1,109,110.49,108.5,109.8,48486405
1/13/15,111.5,112.8,108.91,110.22,66879468,0,1,111.5,112.8,108.91,110.22,66879468
1/12/15,112.46,112.63,108.8,109.25,49523296,0,1,112.46,112.63,108.8,109.25,49523296
1/8/15,109.44,112.15,108.7,111.89,59103103,0,1,109.44,112.15,108.7,111.89,59103103
1/6/15,106.5,107.43,104.63,106.26,65635515,0,1,106.5,107.43,104.63,106.26,65635515
1/5/15,108.17,108.65,105.41,106.25,61403007,0,1,108.17,108.65,105.41,106.25,61403007
1/2/15,111.41,111.44,107.35,109.33,50750548,0,1,111.41,111.44,107.35,109.33,50750548
12/31/14,112.8,113.13,110.21,110.38,41266994,0,1,112.8,113.13,110.21,110.38,41266994
12/30/14,113.54,113.92,112.11,112.52,29795652,0,1,113.54,113.92,112.11,112.52,29795652
12/26/14,112.05,114.52,112.01,113.99,33568431,0,1,112.05,114.52,112.01,113.99,33568431
12/24/14,112.55,112.71,112.01,112.01,14478196,0,1,112.55,112.71,112.01,112.01,14478196
12/23/14,113.28,113.33,112.46,112.54,25958239,0,1,113.28,113.33,112.46,112.54,25958239
12/22/14,112.25,113.49,111.97,112.94,44978107,0,1,112.25,113.49,111.97,112.94,44978107
12/19/14,112.03,113.24,111.66,111.78,86065426,0,1,112.03,113.24,111.66,111.78,86065426
12/18/14,111.77,112.65,110.66,112.65,58727351,0,1,111.77,112.65,110.66,112.65,58727351
12/17/14,107.12,109.84,106.82,109.41,53144964,0,1,107.12,109.84,106.82,109.41,53144964
12/16/14,106.39,110.16,106.26,106.745,60417492,0,1,106.39,110.16,106.26,106.745,60417492
12/15/14,110.72,111.6,106.35,108.225,66970842,0,1,110.72,111.6,106.35,108.225,66970842
12/12/14,110.45,111.87,109.58,109.73,55579427,0,1,110.45,111.87,109.58,109.73,55579427
12/11/14,112.26,113.8,111.34,111.62,41471578,0,1,112.26,113.8,111.34,111.62,41471578
