Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
7/1/14,93.26,94.22,92.1,92.1,11297388,0,1,93.26,94.22,92.1,92.1,11297388
6/30/14,93.55,93.75,91.06,92.36,5656419,0,1,93.55,93.75,91.06,92.36,5656419
6/27/14,90.72,92.82,89.88,92.55,245979,0,1,90.72,92.82,89.88,92.55,245979
6/26/14,91.47,91.75,90.51,91.16,133437,0,1,91.47,91.75,90.51,91.16,133437
6/25/14,91.99,92.32,91.34,91.69,228483,0,1,91.99,92.32,91.34,91.69,228483
6/24/14,93.23,93.42,91.69,91.85,142312,0,1,93.23,93.42,91.69,91.85,142312
6/23/14,94.3,95.35,93.42,93.63,124697,0,1,94.3,95.35,93.42,93.63,124697
6/20/14,93.84,94.37,92.762,94.29,173741,0,1,93.84,94.37,92.762,94.29,173741
6/19/14,93.95,94.53,92.78,93.71,143054,0,1,93.95,94.53,92.78,93.71,143054
6/18/14,91.27,94.27,91.22,93.9,307145,0,1,91.27,94.27,91.22,93.9,307145
6/17/14,91.05,92.37,90.686,91.42,100100,0,1,91.05,92.37,90.686,91.42,100100
6/16/14,91.83,93.23,91.19,91.67,76372,0,1,91.83,93.23,91.19,91.67,76372
6/13/14,89.7,92.44,89.44,92.36,245305,0,1,89.7,92.44,89.44,92.36,245305
6/12/14,90.66,91.03,89.47,89.62,125503,0,1,90.66,91.03,89.47,89.62,125503
6/11/14,90.91,91.08,89.98,90.3,96710,0,1,90.91,91.08,89.98,90.3,96710
6/10/14,89.68,91.46,88.9301,91.43,124725,0,1,89.68,91.46,88.9301,91.43,124725
6/9/14,90.2,90.84,89.25,89.65,129092,0,1,90.2,90.84,89.25,89.65,129092
6/6/14,88.93,90.32,88.71,90.07,148752,0,1,88.93,90.32,88.71,90.07,148752
6/5/14,86.1,89.55,86.12,88.77,208513,0,1,86.1,89.55,86.12,88.77,208513
6/4/14,84.53,85.94,84.23,85.86,189144,0,1,84.53,85.94,84.23,85.86,189144
6/3/14,85.83,85.85,84.48,85.05,203067,0,1,85.83,85.85,84.48,85.05,203067
6/2/14,85.32,86.89,85.14,85.86,107798,0,1,85.32,86.89,85.14,85.86,107798
5/30/14,86.39,86.84,85.05,85.89,168732,0,1,86.39,86.84,85.05,85.89,168732
5/29/14,87.02,87.155,85.25,86.58,190119,0,1,87.02,87.155,85.25,86.58,190119
5/28/14,87.01,88.02,86.23,86.29,67054,0,1,87.01,88.02,86.23,86.29,67054
5/27/14,87.1,87.35,86.55,86.84,72052,0,1,87.1,87.35,86.55,86.84,72052
5/23/14,84.16,86.48,84.16,86.47,73134,0,1,84.16,86.48,84.16,86.47,73134
5/22/14,82.97,84.61,82.8301,84.39,79440,0,1,82.97,84.61,82.8301,84.39,79440
5/21/14,82.4,83.24,81.86,83.17,320461,0,1,82.4,83.24,81.86,83.17,320461
5/20/14,83.19,83.28,80.69,81.85,138329,0,1,83.19,83.28,80.69,81.85,138329
5/16/14,82.49,83.74,82.14,83.12,115260,0,1,82.49,83.74,82.14,83.12,115260
5/15/14,82.47,82.69,80.58,82.16,212164,0,1,82.47,82.69,80.58,82.16,212164
5/14/14,83.84,84.09,82.9,82.91,117671,0,1,83.84,84.09,82.9,82.91,117671
5/12/14,83.4,86.17,83.26,85.37,197205,0,1,83.4,86.17,83.26,85.37,197205
5/8/14,85.84,86.18,83.44,83.51,281756,0,1,85.84,86.18,83.44,83.51,281756
5/7/14,86.85,86.85,84.74,85.32,157370,0,1,86.85,86.85,84.74,85.32,157370
5/6/14,87.23,88.45,86.39,86.42,178161,0,1,87.23,88.45,86.39,86.42,178161
5/5/14,87.43,87.85,86.22,87.61,381883,0,1,87.43,87.85,86.22,87.61,381883
5/2/14,87.85,89.16,87.51,88.04,212019,0,1,87.85,89.16,87.51,88.04,212019
5/1/14,86.88,89.86,86.88,87.54,167085,0,1,86.88,89.86,86.88,87.54,167085
4/30/14,86.12,87.35,85.3,86.7,153129,0,1,86.12,87.35,85.3,86.7,153129
4/29/14,81.88,86.73,80.73,86.59,237231,0,1,81.88,86.73,80.73,86.59,237231
4/28/14,86.4,86.47,80.6,81.44,209727,0,1,86.4,86.47,80.6,81.44,209727
4/25/14,87.56,88.17,85.66,86.21,155134,0,1,87.56,88.17,85.66,86.21,155134
4/24/14,88.58,88.82,86.83,88.33,306637,0,1,88.58,88.82,86.83,88.33,306637
4/23/14,89.37,89.4,88.06,88.53,161183,0,1,89.37,89.4,88.06,88.53,161183
4/22/14,89.06,89.81,88.58,89.58,148673,0,1,89.06,89.81,88.58,89.58,148673
4/21/14,88.44,89.23,87.63,88.79,159701,0,1,88.44,89.23,87.63,88.79,159701
4/17/14,88.35,88.52,87.69,87.87,147037,0,1,88.35,88.52,87.69,87.87,147037
4/16/14,88.05,88.73,87.39,88.48,187002,0,1,88.05,88.73,87.39,88.48,187002
4/15/14,87.515,87.99,85.98,87.22,88462,0,1,87.515,87.99,85.98,87.22,88462
4/14/14,87.75,88.38,86.54,87.28,70300,0,1,87.75,88.38,86.54,87.28,70300
4/11/14,87.96,88.45,86.31,86.68,76900,0,1,87.96,88.45,86.31,86.68,76900
4/10/14,87.99,89.7,87.58,88.38,201800,0,1,87.99,89.7,87.58,88.38,201800
4/9/14,86.13,88.51,85.94,88.33,93300,0,1,86.13,88.51,85.94,88.33,93300
4/8/14,85.39,86.43,84.73,85.76,209800,0,1,85.39,86.43,84.73,85.76,209800
4/7/14,88.75,89.15,83.98,85.33,265000,0,1,88.75,89.15,83.98,85.33,265000
4/4/14,87.88,90.74,87.34,88.81,239000,0,1,87.88,90.74,87.34,88.81,239000
4/3/14,88.9,90.45,86.99,87.12,252600,0,1,88.9,90.45,86.99,87.12,252600
4/2/14,89.9,89.9,88.32,88.71,170000,0,1,89.9,89.9,88.32,88.71,170000
4/1/14,90,90.44,88.85,89.56,135800,0,1,90,90.44,88.85,89.56,135800
3/31/14,88.88,89.94,88.63,89.62,151900,0,1,88.88,89.94,88.63,89.62,151900
3/28/14,88.07,89.81,88.02,88.62,191400,0,1,88.07,89.81,88.02,88.62,191400
3/27/14,87.61,88.16,86.34,87.8,146600,0,1,87.61,88.16,86.34,87.8,146600
3/26/14,89.48,89.48,87.21,87.32,261800,0,1,89.48,89.48,87.21,87.32,261800
3/25/14,86.65,88.48,86.55,88.43,132700,0,1,86.65,88.48,86.55,88.43,132700
3/24/14,88.48,88.73,85.62,86.25,201900,0,1,88.48,88.73,85.62,86.25,201900
3/21/14,89.31,89.49,87.48,87.76,156500,0,1,89.31,89.49,87.48,87.76,156500
3/20/14,88.2,88.82,87.52,88.53,151200,0,1,88.2,88.82,87.52,88.53,151200
3/19/14,88.57,89,87.9,88.37,138800,0,1,88.57,89,87.9,88.37,138800
3/18/14,85.71,88.07,85.71,88.02,377000,0,1,85.71,88.07,85.71,88.02,377000
3/17/14,85.49,86.52,85.36,85.86,181200,0,1,85.49,86.52,85.36,85.86,181200
3/14/14,84.42,86,84.29,85.27,120800,0,1,84.42,86,84.29,85.27,120800
3/13/14,86.04,86.04,84.14,84.66,167100,0,1,86.04,86.04,84.14,84.66,167100
3/12/14,84.58,85.91,84.51,85.79,356400,0,1,84.58,85.91,84.51,85.79,356400
3/11/14,85.73,86.39,84.91,85.27,175300,0,1,85.73,86.39,84.91,85.27,175300
3/10/14,85.9,86.05,85.01,85.61,261400,0,1,85.9,86.05,85.01,85.61,261400
3/7/14,85.17,86.51,84,86.46,206300,0,1,85.17,86.51,84,86.46,206300
3/6/14,84.19,84.99,84.07,84.43,232100,0,1,84.19,84.99,84.07,84.43,232100
3/5/14,85,85,84.07,84.24,319400,0,1,85,85,84.07,84.24,319400
3/4/14,85.69,86.14,84.08,84.88,440400,0,1,85.69,86.14,84.08,84.88,440400
3/3/14,84.07,85.24,83.83,84.89,284900,0,1,84.07,85.24,83.83,84.89,284900
2/28/14,85.07,86.07,84.41,84.9,279200,0,1,85.07,86.07,84.41,84.9,279200
2/27/14,83.75,85.63,83.33,85.36,154400,0,1,83.75,85.63,83.33,85.36,154400
2/26/14,82.71,85.56,82.08,84.2,263400,0,1,82.71,85.56,82.08,84.2,263400
2/25/14,81.32,82.69,80.6,82.15,293900,0,1,81.32,82.69,80.6,82.15,293900
2/24/14,81.45,81.82,81.04,81.05,295300,0,1,81.45,81.82,81.04,81.05,295300
2/21/14,81.49,81.91,81.01,81.29,210600,0,1,81.49,81.91,81.01,81.29,210600
2/20/14,80.83,81.25,80.08,81.04,203400,0,1,80.83,81.25,80.08,81.04,203400
2/19/14,81.53,83.43,80.38,80.54,226900,0,1,81.53,83.43,80.38,80.54,226900
2/18/14,81.71,83.06,81.28,82.05,306600,0,1,81.71,83.06,81.28,82.05,306600
2/14/14,80.09,82.2,79.49,82.19,940300,0,1,80.09,82.2,79.49,82.19,940300
2/13/14,79.18,80.72,78.98,80.17,248200,0,1,79.18,80.72,78.98,80.17,248200
2/12/14,79.41,80.37,79.41,79.89,327200,0,1,79.41,80.37,79.41,79.89,327200
2/11/14,78.47,79.62,78.15,79.4,324600,0,1,78.47,79.62,78.15,79.4,324600
2/10/14,77.71,80.04,77.06,78.56,398300,0,1,77.71,80.04,77.06,78.56,398300
2/7/14,77.78,78.45,76.92,77.83,348900,0,1,77.78,78.45,76.92,77.83,348900
2/6/14,73.97,78.25,73.24,77.84,688900,0,1,73.97,78.25,73.24,77.84,688900
2/5/14,73.25,74.11,72.9,73.61,356600,0,1,73.25,74.11,72.9,73.61,356600
2/4/14,72.8,74.12,72.35,74.03,1127400,0,1,72.8,74.12,72.35,74.03,1127400
2/3/14,75.17,75.25,71.7,72.08,1552100,0,1,75.17,75.25,71.7,72.08,1552100
1/31/14,73.01,76.03,72.95,75.22,816200,0,1,73.01,76.03,72.95,75.22,816200
1/30/14,76.22,76.22,73.21,74.4,877600,0,1,76.22,76.22,73.21,74.4,877600
1/29/14,72.79,74.83,72.16,74.47,888500,0,1,72.79,74.83,72.16,74.47,888500
1/28/14,72.07,75.39,71.55,73.6,4792700,0,1,72.07,75.39,71.55,73.6,4792700
1/27/14,74.15,74.27,70.64,71.54,331400,0,1,74.15,74.27,70.64,71.54,331400
1/24/14,67.98,77.4,67.12,75.06,1340700,0,1,67.98,77.4,67.12,75.06,1340700
1/23/14,67.6,68.69,67.6,68.69,131600,0,1,67.6,68.69,67.6,68.69,131600
1/22/14,68.02,68.5,67.92,68.22,103500,0,1,68.02,68.5,67.92,68.22,103500
1/21/14,68.01,68.5,67.03,68.03,189300,0,1,68.01,68.5,67.03,68.03,189300
1/17/14,68.26,68.83,67.57,68.06,101900,0,1,68.26,68.83,67.57,68.06,101900
1/16/14,67.34,68.98,66.83,68.38,62900,0,1,67.34,68.98,66.83,68.38,62900
1/15/14,67.65,68.61,67.27,67.42,107400,0,1,67.65,68.61,67.27,67.42,107400
1/14/14,66.55,68.18,66.32,67.32,111300,0,1,66.55,68.18,66.32,67.32,111300
1/13/14,66.77,67.51,65.86,66.53,135200,0,1,66.77,67.51,65.86,66.53,135200
1/10/14,68.05,68.71,67.02,67.24,125900,0,1,68.05,68.71,67.02,67.24,125900
1/9/14,64,68.51,61.93,68.15,273900,0,1,64,68.51,61.93,68.15,273900
1/8/14,64.98,65.39,64.35,64.97,296600,0,1,64.98,65.39,64.35,64.97,296600
1/7/14,66.13,66.36,64.81,64.89,222200,0,1,66.13,66.36,64.81,64.89,222200
1/6/14,67.36,67.36,65.79,65.88,169800,0,1,67.36,67.36,65.79,65.88,169800
1/3/14,66.17,67.55,66.17,66.95,86600,0,1,66.17,67.55,66.17,66.95,86600
1/2/14,67.17,67.58,64.65,66.16,258700,0,1,67.17,67.58,64.65,66.16,258700
12/31/13,68.74,69.79,68.36,68.78,115200,0,1,68.74,69.79,68.36,68.78,115200
12/30/13,68.41,69.15,68.03,69.06,103600,0,1,68.41,69.15,68.03,69.06,103600
12/27/13,69.2,69.2,68.1,68.56,49800,0,1,69.2,69.2,68.1,68.56,49800
12/26/13,67.24,69.05,67.24,68.89,94900,0,1,67.24,69.05,67.24,68.89,94900
12/24/13,67.25,67.82,66.86,67.11,68400,0,1,67.25,67.82,66.86,67.11,68400
12/23/13,66.22,67.17,66.22,66.97,81700,0,1,66.22,67.17,66.22,66.97,81700
12/20/13,65.59,66.64,65.19,66.2,174400,0,1,65.59,66.64,65.19,66.2,174400
12/19/13,65.73,66.02,65.2,65.36,120200,0,1,65.73,66.02,65.2,65.36,120200
